number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-SSOR
unsuccessful step! iteration = 897 , error before = 19817.904956 , error next = 19828.802943 , error change = -10.897988 , lambda = 2.000000 , time consumption = 0.453235s

successful step! iteration = 898 , error before = 19817.904956 , error next = 19809.358211 , error change = 8.546745 , lambda = 0.200000 , time consumption = 0.462721s

unsuccessful step! iteration = 899 , error before = 19809.358211 , error next = 19820.129825 , error change = -10.771614 , lambda = 2.000000 , time consumption = 0.455946s

successful step! iteration = 900 , error before = 19809.358211 , error next = 19800.910603 , error change = 8.447609 , lambda = 0.200000 , time consumption = 0.456709s

unsuccessful step! iteration = 901 , error before = 19800.910603 , error next = 19811.557283 , error change = -10.646680 , lambda = 2.000000 , time consumption = 0.455255s

successful step! iteration = 902 , error before = 19800.910603 , error next = 19792.561000 , error change = 8.349603 , lambda = 0.200000 , time consumption = 0.455750s

unsuccessful step! iteration = 903 , error before = 19792.561000 , error next = 19803.084171 , error change = -10.523171 , lambda = 2.000000 , time consumption = 0.454793s

successful step! iteration = 904 , error before = 19792.561000 , error next = 19784.308285 , error change = 8.252715 , lambda = 0.200000 , time consumption = 0.456148s

unsuccessful step! iteration = 905 , error before = 19784.308285 , error next = 19794.709355 , error change = -10.401071 , lambda = 2.000000 , time consumption = 0.457248s

successful step! iteration = 906 , error before = 19784.308285 , error next = 19776.151352 , error change = 8.156933 , lambda = 0.200000 , time consumption = 0.470262s

unsuccessful step! iteration = 907 , error before = 19776.151352 , error next = 19786.431715 , error change = -10.280363 , lambda = 2.000000 , time consumption = 0.455884s

successful step! iteration = 908 , error before = 19776.151352 , error next = 19768.089109 , error change = 8.062243 , lambda = 0.200000 , time consumption = 0.454552s

unsuccessful step! iteration = 909 , error before = 19768.089109 , error next = 19778.250141 , error change = -10.161032 , lambda = 2.000000 , time consumption = 0.454331s

successful step! iteration = 910 , error before = 19768.089109 , error next = 19760.120474 , error change = 7.968635 , lambda = 0.200000 , time consumption = 0.456303s

unsuccessful step! iteration = 911 , error before = 19760.120474 , error next = 19770.163538 , error change = -10.043064 , lambda = 2.000000 , time consumption = 0.458196s

successful step! iteration = 912 , error before = 19760.120474 , error next = 19752.244379 , error change = 7.876095 , lambda = 0.200000 , time consumption = 0.456896s

unsuccessful step! iteration = 913 , error before = 19752.244379 , error next = 19762.170821 , error change = -9.926443 , lambda = 2.000000 , time consumption = 0.459681s

successful step! iteration = 914 , error before = 19752.244379 , error next = 19744.459766 , error change = 7.784613 , lambda = 0.200000 , time consumption = 0.467001s

unsuccessful step! iteration = 915 , error before = 19744.459766 , error next = 19754.270919 , error change = -9.811153 , lambda = 2.000000 , time consumption = 0.466071s

successful step! iteration = 916 , error before = 19744.459766 , error next = 19736.765591 , error change = 7.694175 , lambda = 0.200000 , time consumption = 0.464029s

unsuccessful step! iteration = 917 , error before = 19736.765591 , error next = 19746.462771 , error change = -9.697181 , lambda = 2.000000 , time consumption = 0.471199s

successful step! iteration = 918 , error before = 19736.765591 , error next = 19729.160819 , error change = 7.604772 , lambda = 0.200000 , time consumption = 0.465502s

unsuccessful step! iteration = 919 , error before = 19729.160819 , error next = 19738.745330 , error change = -9.584511 , lambda = 2.000000 , time consumption = 0.469365s

successful step! iteration = 920 , error before = 19729.160819 , error next = 19721.644429 , error change = 7.516390 , lambda = 0.200000 , time consumption = 0.462025s

unsuccessful step! iteration = 921 , error before = 19721.644429 , error next = 19731.117558 , error change = -9.473129 , lambda = 2.000000 , time consumption = 0.484866s

successful step! iteration = 922 , error before = 19721.644429 , error next = 19714.215410 , error change = 7.429019 , lambda = 0.200000 , time consumption = 0.471573s

unsuccessful step! iteration = 923 , error before = 19714.215410 , error next = 19723.578430 , error change = -9.363020 , lambda = 2.000000 , time consumption = 0.469746s

successful step! iteration = 924 , error before = 19714.215410 , error next = 19706.872762 , error change = 7.342648 , lambda = 0.200000 , time consumption = 0.464407s

unsuccessful step! iteration = 925 , error before = 19706.872762 , error next = 19716.126934 , error change = -9.254171 , lambda = 2.000000 , time consumption = 0.473141s

successful step! iteration = 926 , error before = 19706.872762 , error next = 19699.615498 , error change = 7.257264 , lambda = 0.200000 , time consumption = 0.483188s

unsuccessful step! iteration = 927 , error before = 19699.615498 , error next = 19708.762065 , error change = -9.146567 , lambda = 2.000000 , time consumption = 0.470827s

successful step! iteration = 928 , error before = 19699.615498 , error next = 19692.442640 , error change = 7.172858 , lambda = 0.200000 , time consumption = 0.473292s

unsuccessful step! iteration = 929 , error before = 19692.442640 , error next = 19701.482835 , error change = -9.040195 , lambda = 2.000000 , time consumption = 0.469910s

successful step! iteration = 930 , error before = 19692.442640 , error next = 19685.353221 , error change = 7.089419 , lambda = 0.200000 , time consumption = 0.467619s

unsuccessful step! iteration = 931 , error before = 19685.353221 , error next = 19694.288262 , error change = -8.935040 , lambda = 2.000000 , time consumption = 0.474986s

successful step! iteration = 932 , error before = 19685.353221 , error next = 19678.346287 , error change = 7.006934 , lambda = 0.200000 , time consumption = 0.469192s

unsuccessful step! iteration = 933 , error before = 19678.346287 , error next = 19687.177377 , error change = -8.831090 , lambda = 2.000000 , time consumption = 0.470990s

successful step! iteration = 934 , error before = 19678.346287 , error next = 19671.420892 , error change = 6.925395 , lambda = 0.200000 , time consumption = 0.470215s

unsuccessful step! iteration = 935 , error before = 19671.420892 , error next = 19680.149222 , error change = -8.728330 , lambda = 2.000000 , time consumption = 0.467397s

successful step! iteration = 936 , error before = 19671.420892 , error next = 19664.576102 , error change = 6.844790 , lambda = 0.200000 , time consumption = 0.467236s

unsuccessful step! iteration = 937 , error before = 19664.576102 , error next = 19673.202849 , error change = -8.626747 , lambda = 2.000000 , time consumption = 0.470509s

successful step! iteration = 938 , error before = 19664.576102 , error next = 19657.810993 , error change = 6.765109 , lambda = 0.200000 , time consumption = 0.467167s

unsuccessful step! iteration = 939 , error before = 19657.810993 , error next = 19666.337322 , error change = -8.526328 , lambda = 2.000000 , time consumption = 0.462511s

successful step! iteration = 940 , error before = 19657.810993 , error next = 19651.124653 , error change = 6.686341 , lambda = 0.200000 , time consumption = 0.464872s

unsuccessful step! iteration = 941 , error before = 19651.124653 , error next = 19659.551713 , error change = -8.427061 , lambda = 2.000000 , time consumption = 0.467002s

successful step! iteration = 942 , error before = 19651.124653 , error next = 19644.516176 , error change = 6.608476 , lambda = 0.200000 , time consumption = 0.469694s

unsuccessful step! iteration = 943 , error before = 19644.516176 , error next = 19652.845108 , error change = -8.328932 , lambda = 2.000000 , time consumption = 0.486261s

successful step! iteration = 944 , error before = 19644.516176 , error next = 19637.984672 , error change = 6.531505 , lambda = 0.200000 , time consumption = 0.470356s

unsuccessful step! iteration = 945 , error before = 19637.984672 , error next = 19646.216599 , error change = -8.231928 , lambda = 2.000000 , time consumption = 0.470693s

successful step! iteration = 946 , error before = 19637.984672 , error next = 19631.529255 , error change = 6.455417 , lambda = 0.200000 , time consumption = 0.473178s

unsuccessful step! iteration = 947 , error before = 19631.529255 , error next = 19639.665292 , error change = -8.136037 , lambda = 2.000000 , time consumption = 0.468682s

successful step! iteration = 948 , error before = 19631.529255 , error next = 19625.149053 , error change = 6.380202 , lambda = 0.200000 , time consumption = 0.473133s

unsuccessful step! iteration = 949 , error before = 19625.149053 , error next = 19633.190299 , error change = -8.041246 , lambda = 2.000000 , time consumption = 0.499234s

successful step! iteration = 950 , error before = 19625.149053 , error next = 19618.843203 , error change = 6.305850 , lambda = 0.200000 , time consumption = 0.458853s

unsuccessful step! iteration = 951 , error before = 19618.843203 , error next = 19626.790747 , error change = -7.947544 , lambda = 2.000000 , time consumption = 0.467113s

successful step! iteration = 952 , error before = 19618.843203 , error next = 19612.610851 , error change = 6.232352 , lambda = 0.200000 , time consumption = 0.475470s

unsuccessful step! iteration = 953 , error before = 19612.610851 , error next = 19620.465768 , error change = -7.854917 , lambda = 2.000000 , time consumption = 0.469756s

successful step! iteration = 954 , error before = 19612.610851 , error next = 19606.451153 , error change = 6.159698 , lambda = 0.200000 , time consumption = 0.469832s

unsuccessful step! iteration = 955 , error before = 19606.451153 , error next = 19614.214507 , error change = -7.763354 , lambda = 2.000000 , time consumption = 0.474200s

successful step! iteration = 956 , error before = 19606.451153 , error next = 19600.363274 , error change = 6.087879 , lambda = 0.200000 , time consumption = 0.477751s

unsuccessful step! iteration = 957 , error before = 19600.363274 , error next = 19608.036117 , error change = -7.672843 , lambda = 2.000000 , time consumption = 0.473897s

successful step! iteration = 958 , error before = 19600.363274 , error next = 19594.346388 , error change = 6.016886 , lambda = 0.200000 , time consumption = 0.490016s

unsuccessful step! iteration = 959 , error before = 19594.346388 , error next = 19601.929760 , error change = -7.583372 , lambda = 2.000000 , time consumption = 0.478120s

successful step! iteration = 960 , error before = 19594.346388 , error next = 19588.399680 , error change = 5.946708 , lambda = 0.200000 , time consumption = 0.456449s
