number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: LDL
successful step! iteration = 196 , error before = 56716.819844 , error next = 56330.831247 , error change = 385.988597 , lambda = 0.200000 , time consumption = 0.465480s

unsuccessful step! iteration = 197 , error before = 56330.831247 , error next = 56816.935627 , error change = -486.104380 , lambda = 2.000000 , time consumption = 0.476661s

successful step! iteration = 198 , error before = 56330.831247 , error next = 55948.569944 , error change = 382.261302 , lambda = 0.200000 , time consumption = 0.468476s

unsuccessful step! iteration = 199 , error before = 55948.569944 , error next = 56429.977225 , error change = -481.407281 , lambda = 2.000000 , time consumption = 0.470747s

successful step! iteration = 200 , error before = 55948.569944 , error next = 55569.998166 , error change = 378.571778 , lambda = 0.200000 , time consumption = 0.466677s

unsuccessful step! iteration = 201 , error before = 55569.998166 , error next = 56046.756408 , error change = -476.758242 , lambda = 2.000000 , time consumption = 0.470270s

successful step! iteration = 202 , error before = 55569.998166 , error next = 55195.078995 , error change = 374.919171 , lambda = 0.200000 , time consumption = 0.465576s

unsuccessful step! iteration = 203 , error before = 55195.078995 , error next = 55667.235134 , error change = -472.156138 , lambda = 2.000000 , time consumption = 0.470153s

successful step! iteration = 204 , error before = 55195.078995 , error next = 54823.776311 , error change = 371.302685 , lambda = 0.200000 , time consumption = 0.464675s

unsuccessful step! iteration = 205 , error before = 54823.776311 , error next = 55291.376235 , error change = -467.599924 , lambda = 2.000000 , time consumption = 0.471255s

successful step! iteration = 206 , error before = 54823.776311 , error next = 54456.054734 , error change = 367.721576 , lambda = 0.200000 , time consumption = 0.482871s

unsuccessful step! iteration = 207 , error before = 54456.054734 , error next = 54919.143358 , error change = -463.088624 , lambda = 2.000000 , time consumption = 0.462287s

successful step! iteration = 208 , error before = 54456.054734 , error next = 54091.879583 , error change = 364.175151 , lambda = 0.200000 , time consumption = 0.461642s

unsuccessful step! iteration = 209 , error before = 54091.879583 , error next = 54550.500908 , error change = -458.621326 , lambda = 2.000000 , time consumption = 0.468903s

successful step! iteration = 210 , error before = 54091.879583 , error next = 53731.216824 , error change = 360.662759 , lambda = 0.200000 , time consumption = 0.463370s

unsuccessful step! iteration = 211 , error before = 53731.216824 , error next = 54185.414001 , error change = -454.197177 , lambda = 2.000000 , time consumption = 0.476515s

successful step! iteration = 212 , error before = 53731.216824 , error next = 53374.033035 , error change = 357.183789 , lambda = 0.200000 , time consumption = 0.479391s

unsuccessful step! iteration = 213 , error before = 53374.033035 , error next = 53823.848414 , error change = -449.815379 , lambda = 2.000000 , time consumption = 0.462679s

successful step! iteration = 214 , error before = 53374.033035 , error next = 53020.295368 , error change = 353.737667 , lambda = 0.200000 , time consumption = 0.464835s

unsuccessful step! iteration = 215 , error before = 53020.295368 , error next = 53465.770549 , error change = -445.475182 , lambda = 2.000000 , time consumption = 0.462686s

successful step! iteration = 216 , error before = 53020.295368 , error next = 52669.971512 , error change = 350.323856 , lambda = 0.200000 , time consumption = 0.469975s

unsuccessful step! iteration = 217 , error before = 52669.971512 , error next = 53111.147394 , error change = -441.175882 , lambda = 2.000000 , time consumption = 0.473817s

successful step! iteration = 218 , error before = 52669.971512 , error next = 52323.029667 , error change = 346.941845 , lambda = 0.200000 , time consumption = 0.469868s

unsuccessful step! iteration = 219 , error before = 52323.029667 , error next = 52759.946482 , error change = -436.916816 , lambda = 2.000000 , time consumption = 0.470962s

successful step! iteration = 220 , error before = 52323.029667 , error next = 51979.438511 , error change = 343.591156 , lambda = 0.200000 , time consumption = 0.470713s

unsuccessful step! iteration = 221 , error before = 51979.438511 , error next = 52412.135869 , error change = -432.697358 , lambda = 2.000000 , time consumption = 0.482739s

successful step! iteration = 222 , error before = 51979.438511 , error next = 51639.167178 , error change = 340.271333 , lambda = 0.200000 , time consumption = 0.465257s

unsuccessful step! iteration = 223 , error before = 51639.167178 , error next = 52067.684097 , error change = -428.516919 , lambda = 2.000000 , time consumption = 0.485161s

successful step! iteration = 224 , error before = 51639.167178 , error next = 51302.185232 , error change = 336.981946 , lambda = 0.200000 , time consumption = 0.467248s

unsuccessful step! iteration = 225 , error before = 51302.185232 , error next = 51726.560169 , error change = -424.374937 , lambda = 2.000000 , time consumption = 0.530335s

successful step! iteration = 226 , error before = 51302.185232 , error next = 50968.462645 , error change = 333.722587 , lambda = 0.200000 , time consumption = 0.478213s

unsuccessful step! iteration = 227 , error before = 50968.462645 , error next = 51388.733530 , error change = -420.270885 , lambda = 2.000000 , time consumption = 0.468299s

successful step! iteration = 228 , error before = 50968.462645 , error next = 50637.969779 , error change = 330.492866 , lambda = 0.200000 , time consumption = 0.464289s

unsuccessful step! iteration = 229 , error before = 50637.969779 , error next = 51054.174035 , error change = -416.204256 , lambda = 2.000000 , time consumption = 0.469425s

successful step! iteration = 230 , error before = 50637.969779 , error next = 50310.677366 , error change = 327.292413 , lambda = 0.200000 , time consumption = 0.497740s

unsuccessful step! iteration = 231 , error before = 50310.677366 , error next = 50722.851939 , error change = -412.174573 , lambda = 2.000000 , time consumption = 0.468098s

successful step! iteration = 232 , error before = 50310.677366 , error next = 49986.556492 , error change = 324.120874 , lambda = 0.200000 , time consumption = 0.496553s

unsuccessful step! iteration = 233 , error before = 49986.556492 , error next = 50394.737870 , error change = -408.181378 , lambda = 2.000000 , time consumption = 0.468501s

successful step! iteration = 234 , error before = 49986.556492 , error next = 49665.578581 , error change = 320.977911 , lambda = 0.200000 , time consumption = 0.465378s

unsuccessful step! iteration = 235 , error before = 49665.578581 , error next = 50069.802816 , error change = -404.224235 , lambda = 2.000000 , time consumption = 0.475042s

successful step! iteration = 236 , error before = 49665.578581 , error next = 49347.715383 , error change = 317.863198 , lambda = 0.200000 , time consumption = 0.482891s

unsuccessful step! iteration = 237 , error before = 49347.715383 , error next = 49748.018107 , error change = -400.302724 , lambda = 2.000000 , time consumption = 0.466313s

successful step! iteration = 238 , error before = 49347.715383 , error next = 49032.938958 , error change = 314.776425 , lambda = 0.200000 , time consumption = 0.482433s

unsuccessful step! iteration = 239 , error before = 49032.938958 , error next = 49429.355403 , error change = -396.416445 , lambda = 2.000000 , time consumption = 0.473162s

successful step! iteration = 240 , error before = 49032.938958 , error next = 48721.221666 , error change = 311.717291 , lambda = 0.200000 , time consumption = 0.458883s

unsuccessful step! iteration = 241 , error before = 48721.221666 , error next = 49113.786680 , error change = -392.565014 , lambda = 2.000000 , time consumption = 0.467946s

successful step! iteration = 242 , error before = 48721.221666 , error next = 48412.536158 , error change = 308.685509 , lambda = 0.200000 , time consumption = 0.486625s

unsuccessful step! iteration = 243 , error before = 48412.536158 , error next = 48801.284216 , error change = -388.748059 , lambda = 2.000000 , time consumption = 0.473241s

successful step! iteration = 244 , error before = 48412.536158 , error next = 48106.855360 , error change = 305.680797 , lambda = 0.200000 , time consumption = 0.461184s

unsuccessful step! iteration = 245 , error before = 48106.855360 , error next = 48491.820582 , error change = -384.965222 , lambda = 2.000000 , time consumption = 0.462019s

successful step! iteration = 246 , error before = 48106.855360 , error next = 47804.152472 , error change = 302.702888 , lambda = 0.200000 , time consumption = 0.461451s

unsuccessful step! iteration = 247 , error before = 47804.152472 , error next = 48185.368631 , error change = -381.216159 , lambda = 2.000000 , time consumption = 0.464693s

successful step! iteration = 248 , error before = 47804.152472 , error next = 47504.400951 , error change = 299.751520 , lambda = 0.200000 , time consumption = 0.471942s

unsuccessful step! iteration = 249 , error before = 47504.400951 , error next = 47881.901487 , error change = -377.500535 , lambda = 2.000000 , time consumption = 0.482488s

successful step! iteration = 250 , error before = 47504.400951 , error next = 47207.574512 , error change = 296.826440 , lambda = 0.200000 , time consumption = 0.489560s

unsuccessful step! iteration = 251 , error before = 47207.574512 , error next = 47581.392539 , error change = -373.818027 , lambda = 2.000000 , time consumption = 0.480866s

successful step! iteration = 252 , error before = 47207.574512 , error next = 46913.647111 , error change = 293.927400 , lambda = 0.200000 , time consumption = 0.487285s

unsuccessful step! iteration = 253 , error before = 46913.647111 , error next = 47283.815432 , error change = -370.168321 , lambda = 2.000000 , time consumption = 0.479577s

successful step! iteration = 254 , error before = 46913.647111 , error next = 46622.592949 , error change = 291.054162 , lambda = 0.200000 , time consumption = 0.477243s

unsuccessful step! iteration = 255 , error before = 46622.592949 , error next = 46989.144059 , error change = -366.551110 , lambda = 2.000000 , time consumption = 0.468900s

successful step! iteration = 256 , error before = 46622.592949 , error next = 46334.386456 , error change = 288.206492 , lambda = 0.200000 , time consumption = 0.463133s

unsuccessful step! iteration = 257 , error before = 46334.386456 , error next = 46697.352554 , error change = -362.966097 , lambda = 2.000000 , time consumption = 0.469618s

successful step! iteration = 258 , error before = 46334.386456 , error next = 46049.002294 , error change = 285.384162 , lambda = 0.200000 , time consumption = 0.468798s

unsuccessful step! iteration = 259 , error before = 46049.002294 , error next = 46408.415288 , error change = -359.412993 , lambda = 2.000000 , time consumption = 0.494925s
